Region (abbreviation for the state),Community_Name,Plan,Location,Postal_Code,Estimated_Completion_Date,Price,Discount,Final_Price,Address (street address only),Latitude,Longitude,Area (in sq. ft.),Beds,Baths,Garages,Stories,URL,Status
Arizona,Avila at Rancho Mercado,Plan CC-RM3,"Surprise, Arizona",85387,N/A,"$398,440",N/A,"$398,440",14109 W Hackamore Drive,N/A,N/A,"1,794
Sq. Ft.",3,2.5,2,,https://www.taylormorrison.com/az/phoenix/surprise/avila-at-rancho-mercado/floor-plans/plan-cc-rm3/home-available-now-at-14109-w-hackamore-drive,READY NOW
Arizona,Avila at Rancho Mercado,Plan CC-RM3,"Surprise, Arizona",85387,N/A,"$398,440",N/A,"$398,440",25197 N 141st Avenue,N/A,N/A,"1,794
Sq. Ft.",3,2.5,2,,https://www.taylormorrison.com/az/phoenix/surprise/avila-at-rancho-mercado/floor-plans/plan-cc-rm3/home-available-now-at-25197-n-141st-avenue,READY NOW
Arizona,Avila at Rancho Mercado,Plan CC-RM3,"Surprise, Arizona",85387,N/A,"$398,440",N/A,"$398,440",25269 N 141st Avenue,N/A,N/A,"1,794
Sq. Ft.",3,2.5,2,,https://www.taylormorrison.com/az/phoenix/surprise/avila-at-rancho-mercado/floor-plans/plan-cc-rm3/home-available-now-at-25269-n-141st-avenue,READY NOW
Arizona,Avila at Rancho Mercado,Plan CC-RM3,"Surprise, Arizona",85387,N/A,"$404,440",N/A,"$404,440",25161 N 141st Avenue,N/A,N/A,"1,794
Sq. Ft.",3,2.5,2,,https://www.taylormorrison.com/az/phoenix/surprise/avila-at-rancho-mercado/floor-plans/plan-cc-rm3/home-available-now-at-25161-n-141st-avenue,READY NOW
Arizona,Allen Ranches Discovery Collection,Buckingham,"Litchfield Park, Arizona",85340,N/A,"$430,770","$6,000","$430,770",17625 W Colter Street,N/A,N/A,"1,579
Sq. Ft.",3,2,2,,https://www.taylormorrison.com/az/phoenix/litchfield-park/allen-ranches-discovery-collection/floor-plans/buckingham/home-available-now-at-17625-w-colter-street,READY NOW
Arizona,Discovery Collection at Verrado,Brixton,"Buckeye, Arizona",85396,N/A,"$436,990",N/A,"$436,990",20181 W Campbell Avenue,N/A,N/A,"1,715
Sq. Ft.",3,2,2,,https://www.taylormorrison.com/az/phoenix/buckeye/discovery-collection-at-verrado/floor-plans/brixton/home-available-now-at-20181-w-campbell-avenue,READY NOW
Arizona,Ovation at Meridian 55+,Coconino,"Queen Creek, Arizona",85140,N/A,"$437,390","$20,000","$437,390",39318 N Kaden Lane,N/A,N/A,"1,478
Sq. Ft.",2,2,2,,https://www.taylormorrison.com/az/phoenix/queen-creek/ovation-at-meridian/floor-plans/coconino/home-available-now-at-39318-n-kaden-lane,READY NOW
Arizona,Ovation at Meridian 55+,Kaibab,"Queen Creek, Arizona",85140,N/A,"$455,663","$20,000","$455,663",39302 N Kaden,N/A,N/A,"1,645
Sq. Ft.",2,2,2,,https://www.taylormorrison.com/az/phoenix/queen-creek/ovation-at-meridian/floor-plans/kaibab/home-available-now-at-39302-n-kaden-lane,READY NOW
Arizona,CantaMia at Estrella 55+,Octave,"Goodyear, Arizona",85338,N/A,"$468,225",N/A,"$468,225",16035 S 176th Drive,N/A,N/A,"1,778
Sq. Ft.",2,2,2,,https://www.taylormorrison.com/az/phoenix/goodyear/cantamia/floor-plans/octave/home-available-now-at-16035-s-176th-drive,READY NOW
Arizona,Ovation at Meridian 55+,Kaibab,"Queen Creek, Arizona",85140,N/A,"$468,809","$15,000","$468,809",1437 W Calle De Flores,N/A,N/A,"1,645
Sq. Ft.",2,2,2,,https://www.taylormorrison.com/az/phoenix/queen-creek/ovation-at-meridian/floor-plans/kaibab/home-available-now-at-1437-w-calle-de-flores,READY NOW
Arizona,Tierra Montana Discovery Collection,Lily,"Laveen, Arizona",85339,N/A,"$469,000","$11,359","$469,000",5613 W Roundhouse Road,N/A,N/A,"1,760
Sq. Ft.",4,2,2,,https://www.taylormorrison.com/az/phoenix/laveen/tierra-montana-discovery-collection/floor-plans/lily/home-available-now-at-5613-w-roundhouse-road,READY NOW
Arizona,CantaMia at Estrella 55+,Zafiro,"Goodyear, Arizona",85338,N/A,"$492,990",N/A,"$492,990",17708 W Silverwood,N/A,N/A,"1,935
Sq. Ft.",3,2,2,,https://www.taylormorrison.com/az/phoenix/goodyear/cantamia/floor-plans/zafiro/home-available-now-at-17708-w-silverwood,READY NOW
Arizona,CantaMia at Estrella 55+,Portato,"Goodyear, Arizona",85338,N/A,"$500,865","$10,000","$500,865",16029 S 176th Drive,N/A,N/A,"1,914
Sq. Ft.",2,2,2,,https://www.taylormorrison.com/az/phoenix/goodyear/cantamia/floor-plans/portato/home-available-now-at-16029-s-176th-drive,READY NOW
Arizona,Parkside Los Cielos Collection,40-RM1,"Avondale, Arizona",85392,N/A,"$511,000",N/A,"$511,000",10266 West Piccadilly Road,N/A,N/A,"1,949
Sq. Ft.",3,2,2,,https://www.taylormorrison.com/az/phoenix/avondale/parkside-los-cielos-collection/floor-plans/40-rm1/home-available-now-at-10266-w-piccadilly-road,READY NOW
Arizona,Tierra Montana Encore Collection,Sterling,"Laveen, Arizona",85339,N/A,"$513,000","$18,542","$513,000",5313 W Notch Hill Road,N/A,N/A,"2,146
Sq. Ft.",4,3,2,,https://www.taylormorrison.com/az/phoenix/laveen/tierra-montana-encore-collection/floor-plans/sterling/home-available-now-at-5313-w-notch-hill-road,READY NOW
Arizona,Tierra Montana Discovery Collection,Erikson,"Laveen, Arizona",85339,N/A,"$519,000","$13,391","$519,000",5648 W Chuck Box Road,N/A,N/A,"2,373
Sq. Ft.",4,3,2,,https://www.taylormorrison.com/az/phoenix/laveen/tierra-montana-discovery-collection/floor-plans/erikson/home-available-now-at-5648-w-chuck-box-road,READY NOW
Arizona,Combs Ranch Landmark Collection,Lowell,"San Tan Valley, Arizona",85140,N/A,"$546,860",N/A,"$546,860",3842 E Fiesta Flower Lane,N/A,N/A,"2,741
Sq. Ft.",4,3,2,,https://www.taylormorrison.com/az/phoenix/san-tan-valley/combs-ranch-landmark-collection/floor-plans/lowell/home-available-now-at-3842-e-fiesta-flower-lane,READY NOW
Arizona,La Mira Discovery Collection,Harlow,"Mesa, Arizona",85212,N/A,"$547,530",N/A,"$547,530",5757 S Romano,N/A,N/A,"1,960
Sq. Ft.",4,2.5,2,,https://www.taylormorrison.com/az/phoenix/mesa/la-mira-discovery-collection/floor-plans/harlow/home-available-now-at-5757-s-romano,READY NOW
Arizona,Stonehaven Encore Collection,Sapphire,"Glendale, Arizona",85305,N/A,"$555,000",N/A,"$555,000",9008 W Denton Lane,N/A,N/A,"1,970
Sq. Ft.",3,3,3,,https://www.taylormorrison.com/az/phoenix/glendale/stonehaven-encore-collection/floor-plans/sapphire/home-available-now-at-9008-w-denton-lane,READY NOW
Arizona,Parkside Almeria Collection,45RM2,"Avondale, Arizona",85323,N/A,"$560,000",N/A,"$560,000",10270 W Columbus Avenue,N/A,N/A,"2,379
Sq. Ft.",3,2.5,3,,https://www.taylormorrison.com/az/phoenix/avondale/parkside-almeria-collection/floor-plans/45-rm2/home-available-now-at-10270-w-columbus,READY NOW
Arizona,Parkside Almeria Collection,45RM2,"Avondale, Arizona",85323,N/A,"$570,000",N/A,"$570,000",10258 W Columbus Avenue,N/A,N/A,"2,379
Sq. Ft.",3,2.5,3,,https://www.taylormorrison.com/az/phoenix/avondale/parkside-almeria-collection/floor-plans/45-rm2/home-available-now-at-10258-w-columbus-avenue,READY NOW
Arizona,Allen Ranches Expedition Collection,Bradshaw,"Litchfield Park, Arizona",85340,N/A,"$570,999",N/A,"$570,999",17829 W Colter St.,N/A,N/A,"2,616
Sq. Ft.",3,2.5,4,,https://www.taylormorrison.com/az/phoenix/litchfield-park/allen-ranches-expedition-collection/floor-plans/bradshaw/home-available-now-at-17829-w-colter-street,READY NOW
Arizona,Hawes Crossing Discovery Collection,Edmonton,"Mesa, Arizona",85212,N/A,"$572,905",N/A,"$572,905",7950 E Queensborough Avenue,N/A,N/A,"1,832
Sq. Ft.",4,2,2,,https://www.taylormorrison.com/az/phoenix/mesa/hawes-crossing-discovery-collection/floor-plans/edmonton/home-available-now-at-7950-e-queensborough-avenue,READY NOW
Arizona,Paradisi Encore Collection,Pinnacle,"Surprise, Arizona",85388,N/A,"$579,990",N/A,"$579,990",16777 W Sierra Street,N/A,N/A,"2,838
Sq. Ft.",5,4,3,,https://www.taylormorrison.com/az/phoenix/surprise/paradisi-encore-collection/floor-plans/pinnacle/home-available-now-at-16777-w-sierra-street,READY NOW
Arizona,Hawes Crossing Discovery Collection,Edmonton,"Mesa, Arizona",85212,N/A,"$581,905",N/A,"$581,905",3761 S Hibiscus,N/A,N/A,"1,832
Sq. Ft.",4,2,2,,https://www.taylormorrison.com/az/phoenix/mesa/hawes-crossing-discovery-collection/floor-plans/edmonton/home-available-now-at-3761-s-hibiscus,READY NOW
Arizona,Hawes Crossing Discovery Collection,Edmonton,"Mesa, Arizona",85212,N/A,"$583,945",N/A,"$583,945",3757 S Hibiscus,N/A,N/A,"1,832
Sq. Ft.",4,2,2,,https://www.taylormorrison.com/az/phoenix/mesa/hawes-crossing-discovery-collection/floor-plans/edmonton/home-available-now-at-3757-s-hibiscus,READY NOW
Arizona,Paradisi Almeria Collection,45RM4,"Surprise, Arizona",85388,N/A,"$584,990",N/A,"$584,990",17041 W Jenan Road,N/A,N/A,"3,067
Sq. Ft.",4,2.5,3,,https://www.taylormorrison.com/az/phoenix/surprise/paradisi-almeria-collection/floor-plans/45-rm4/home-available-now-at-17041-w-jenan-road,READY NOW
Arizona,Parkside Almeria Collection,45RM3,"Avondale, Arizona",85323,N/A,"$587,000",N/A,"$587,000",10257 W Columbus Avenue,N/A,N/A,"2,587
Sq. Ft.",4,2.5,2,,https://www.taylormorrison.com/az/phoenix/avondale/parkside-almeria-collection/floor-plans/45-rm3/home-available-now-at-10257-w-columbus-avenue,READY NOW
