State,Name,Notes,Latitude,Longitude,Address,Pricing,Area,URL,Specifications
Arizona,Allen Ranches Discovery Collection,Models open,N/A,N/A,"Litchfield Park, Arizona","$385,990",1579 - 2961,https://www.taylormorrison.com/az/phoenix/litchfield-park/allen-ranches-discovery-collection,"Bed:2 - 6, Bath:2 - 4, Sq. Ft.:1579 - 2961, Garage:2 - 3"
Arizona,Avila at Rancho Mercado,Model open,N/A,N/A,"Surprise, Arizona","$324,990",1272 - 1961,https://www.taylormorrison.com/az/phoenix/surprise/avila-at-rancho-mercado,"Bed:2 - 3, Bath:2 - 2.5, Sq. Ft.:1272 - 1961, Garage:2"
Arizona,CantaMia at Estrella 55+,Models open,N/A,N/A,"Goodyear, Arizona","$338,990",1361 - 2326,https://www.taylormorrison.com/az/phoenix/goodyear/cantamia,"Bed:2 - 4, Bath:2 - 4.5, Sq. Ft.:1361 - 2326, Garage:2 - 5"
Arizona,Parkside Villas Collection,Models open,N/A,N/A,"Avondale, Arizona","$352,990",1272 - 1961,https://www.taylormorrison.com/az/phoenix/avondale/parkside-villas-collection,"Bed:2 - 4, Bath:2 - 2.5, Sq. Ft.:1272 - 1961, Garage:2"
Arizona,Rio Vista at Rancho Mercado,Model open,N/A,N/A,"Surprise, Arizona","$368,990",1504 - 2299,https://www.taylormorrison.com/az/phoenix/surprise/rio-vista-at-rancho-mercado,"Bed:3 - 5, Bath:2 - 3.5, Sq. Ft.:1504 - 2299, Garage:2"
Arizona,Combs Ranch Discovery Collection,Model open,N/A,N/A,"San Tan Valley, Arizona","$387,990",1575 - 2842,https://www.taylormorrison.com/az/phoenix/san-tan-valley/combs-ranch-discovery-collection,"Bed:2 - 5, Bath:2 - 3.5, Sq. Ft.:1575 - 2842, Garage:2 - 3"
Arizona,Ovation at Meridian 55+,Models open,N/A,N/A,"Queen Creek, Arizona","$387,990",1478 - 2499,https://www.taylormorrison.com/az/phoenix/queen-creek/ovation-at-meridian,"Bed:2 - 4, Bath:2 - 3.5, Sq. Ft.:1478 - 2499, Garage:2 - 3"
Arizona,Paradisi Discovery Collection,Model open,N/A,N/A,"Surprise, Arizona","$390,990",1715 - 2757,https://www.taylormorrison.com/az/phoenix/surprise/paradisi-discovery-collection,"Bed:2 - 6, Bath:2 - 4, Sq. Ft.:1715 - 2757, Garage:2 - 2.5"
Arizona,Discovery Collection at Verrado,Model open,N/A,N/A,"Buckeye, Arizona","$394,990",1715 - 2961,https://www.taylormorrison.com/az/phoenix/buckeye/discovery-collection-at-verrado,"Bed:2 - 6, Bath:2 - 4, Sq. Ft.:1715 - 2961, Garage:2 - 3"
Arizona,Lucero Discovery Collection,Models open,N/A,N/A,"Goodyear, Arizona","$402,990",1575 - 2842,https://www.taylormorrison.com/az/phoenix/goodyear/lucero-discovery-collection,"Bed:2 - 5, Bath:2 - 3.5, Sq. Ft.:1575 - 2842, Garage:2 - 3"
